,date,pv_electricity,wind_electricity
126,2019-05-07,4.994,0.31100000000000005
127,2019-05-08,3.2079999999999993,0.929
128,2019-05-09,3.31,2.025
129,2019-05-10,1.0590000000000002,1.045
130,2019-05-11,0.818,0.3700000000000001
131,2019-05-12,3.076,0.166
132,2019-05-13,1.5219999999999998,0.944
133,2019-05-14,2.9179999999999997,0.404
134,2019-05-15,3.224,0.6640000000000001
135,2019-05-16,4.274000000000001,0.708
136,2019-05-17,4.826,1.6060000000000003
137,2019-05-18,4.497999999999999,1.3570000000000002
138,2019-05-19,4.697,0.402
139,2019-05-20,3.7439999999999998,0.065
140,2019-05-21,1.8949999999999998,0.08300000000000002
141,2019-05-22,3.8259999999999996,0.23800000000000002
142,2019-05-23,0.6870000000000002,0.789
143,2019-05-24,1.4869999999999999,1.1320000000000001
